province,sublocation,garden
Aegyptus,Alexandria,Kanopos
Aegyptus,Alexandria,Three Tomb Gardens
Aegyptus,Alexandria,Vineyards
Aegyptus,Alexandria,Ibrahimiya
Aegyptus,Fayum,Vineyard 1 Theadelphia
Aegyptus,Fayum,Vineyard 2 Theadelphia
Aegyptus,Fayum,Dionysias
Aegyptus,Fayum,Euhemeria
Aegyptus,Fayum,Arsinoite nome
Aegyptus,Middle Nile,Vineyard 1 Oxyrhynchite nome
Aegyptus,Middle Nile,Vineyard 2 Oxyrhynchite nome
Aegyptus,Middle Nile,Tanais
Aegyptus,Middle Nile,Oxyrhynchos
Aegyptus,Upper Nile,Aphrodite
Aegyptus,Upper Nile,Aphrodite orchard
Aegyptus,Upper Nile,Panopolis
Libya,Leptis Magna,Silin
Libya,Leptis Magna,Little Circus
Libya,Leptis Magna,Wadi Iala
Africa Proconsularis,Uzitta
Numidia,Cirta,Tomb garden of an anonymous
Numidia,Thamugadi,Tomb garden Cicero Thabudeiensis
Numidia,Cuicul,
Mauretania,Caesarea,
Mauretania,Portus Magnus,
Mauretania,Tipasa,
Mauretania,Volubilis,
